ADM0_EN,ADM0_PCODE,ADM1_EN,ADM1_PCODE,T_TL,F_TL,M_TL,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65Plus,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65Plus
Jamaica,JM,Clarendon,JM01,245103,121312,123791,20519,22770,26874,26821,21719,18511,15921,15146,14750,12908,11845,8944,7611,20764,10130,11290,13092,13119,10476,9435,8172,7585,7833,6217,5827,4230,3460,10446,10389,11480,13782,13702,11243,9076,7749,7561,6917,6691,6018,4714,4151,10318
Jamaica,JM,Hanover,JM02,69533,34470,35063,6272,6853,6639,7003,6339,5530,4025,4933,4593,4147,3336,2308,2028,5526,3114,3387,3342,3428,3173,2717,1995,2509,2315,1906,1713,1074,962,2834,3158,3466,3297,3575,3166,2813,2030,2424,2278,2241,1623,1234,1066,2692
Jamaica,JM,Manchester,JM04,189797,94394,95403,14220,15087,19008,19676,16129,14450,13131,12487,13665,10612,9384,7200,6366,18383,6972,7375,9230,9547,7682,7079,6850,6438,6456,5401,4645,3613,3018,10088,7248,7712,9777,10128,8447,7371,6281,6049,7209,5211,4739,3587,3348,8296
Jamaica,JM,Portland,JM07,81744,40450,41294,5859,6607,8256,8806,7047,6244,4787,5089,6231,4744,4290,3224,2874,7686,2870,3208,4161,4309,3420,3152,2423,2557,3123,2181,2115,1556,1400,3975,2989,3399,4095,4497,3627,3092,2364,2532,3108,2563,2175,1668,1474,3711
Jamaica,JM,Saint Andrew,JM08,573369,299049,274320,36811,38736,53865,56613,58226,52388,42147,39460,39931,41950,29498,21791,18680,43273,18019,19261,26519,28242,30007,27548,22348,21303,20328,24831,15772,10979,9523,24369,18792,19475,27346,28371,28219,24840,19799,18157,19603,17119,13726,10812,9157,18904
Jamaica,JM,"Saint Ann	",JM09,172362,85699,86662,14004,15276,17526,17703,15789,14119,11744,11368,9786,8773,8965,6510,5955,14844,7047,7454,8692,8607,7813,7316,6197,6087,4733,3696,4342,3165,2857,7694,6957,7822,8834,9096,7976,6803,5547,5281,5053,5077,4623,3345,3098,7150
Jamaica,JM,Saint Catherine,JM10,516218,265860,250358,40596,43777,50603,51509,48219,44704,38521,38565,32695,27047,27549,19663,16871,35897,20232,21512,24866,25320,24509,23640,20851,21561,16972,12544,14947,10387,8779,19740,20364,22265,25737,26189,23710,21064,17670,17004,15723,14503,12602,9276,8092,16157
Jamaica,JM,"Saint Elizabeth	",JM11,150205,73675,76530,11860,13436,14703,15119,12297,11652,9698,9825,8498,7930,7916,6259,5841,15171,5921,6630,7045,7253,5916,5761,5077,4972,4014,3098,3919,3028,2869,8172,5939,6806,7658,7866,6381,5891,4621,4853,4484,4832,3997,3231,2972,6999
Jamaica,JM,"Saint James	",JM12,183811,93361,90450,15538,16207,17846,18714,18170,16315,12472,13309,12218,10007,8693,6058,5342,12923,7593,7979,8662,9330,9403,8486,6654,6843,6674,4702,4456,3038,2614,6928,7945,8228,9184,9384,8767,7829,5818,6466,5544,5305,4237,3020,2728,5995
Jamaica,JM,"Saint Mary	",JM13,113615,56586,57029,9403,9931,11442,12025,10254,8612,6838,7188,6623,6153,6074,4410,3866,10796,4606,4866,5489,5958,5056,4389,3652,3791,3326,2568,3019,2254,1948,5664,4797,5065,5953,6067,5198,4223,3186,3397,3297,3585,3055,2156,1918,5132
Jamaica,JM,"Saint Thomas	",JM14,93902,46943,46959,7433,8140,9746,10043,8495,7498,5981,6089,5387,4578,4977,3788,3352,8395,3714,3946,4684,4907,4181,3833,3165,3269,2675,2158,2404,1725,1795,4487,3719,4194,5062,5136,4314,3665,2816,2820,2712,2420,2573,2063,1557,3908
Jamaica,JM,Trelawny,JM15,75164,37062,38102,6324,6839,7650,7722,6524,6027,4700,4829,4241,4108,3945,2746,2587,6922,3146,3376,3792,3799,3157,3116,2403,2445,2050,1688,1899,1333,1248,3611,3178,3463,3858,3923,3367,2911,2297,2384,2191,2420,2046,1413,1339,3312
Jamaica,JM,Westmoreland,JM16,144103,70422,73681,13195,14317,13809,14192,12816,12021,9214,9100,8395,7644,7539,5203,4320,12339,6493,7179,6621,6827,6441,5948,4825,4507,3887,3003,3637,2421,2063,6570,6702,7138,7188,7365,6375,6073,4389,4593,4508,4641,3902,2782,2257,5769
Jamaica,JM,Kingston,JM17,89057,44166,44891,7836,8403,8621,8713,8690,8048,6315,6369,6911,4788,3885,2694,2364,5420,3906,4123,4209,4235,4237,3780,3072,3243,3882,2195,1904,1278,1114,2988,3930,4280,4412,4478,4453,4268,3243,3126,3029,2593,1981,1416,1250,2432
